Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Basic,1,Hello,Hello!,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/hello.svg.varianted-skin.svg,#5bb0ff,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,How are you?,How are you?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/how are you.png,#5bb0ff,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Thank you,Thank you,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Handshake_985_g.svg,#5bb0ff,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Yes,Yes,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yes_2.png,#5bb0ff,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,No,No,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/No-09d75d7313.svg,#5bb0ff,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Please,Please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/please.png.varianted-skin.png,#5bb0ff,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Good morning,Good morning,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f305.svg,#5bb0ff,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Good night,Good night,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/good night.png,#5bb0ff,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,Goodbye,Goodbye,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/goodbye.png.varianted-skin.png,#5bb0ff,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Basic,1,I love you,I love you,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to love_7.png,#5bb0ff,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Information-80539cbad2.svg,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,I need help,"I need help, please.",https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,#fe4343,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Bathroom,I need the bathroom,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/toilet bowl.png,#fe4343,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Drink,"Can I have a drink, please?",https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to have.png.varianted-skin.png,#fe4343,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Food,I'm hungry,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f60b.svg,#fe4343,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Medicine,I need my medicine,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/medicine.png,#fe4343,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Bed,I want to rest in bed,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bed_3.png,#fe4343,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Adjust,I need to be moved or adjusted,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/power wheelchair_1.png,#fe4343,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Blanket,Can I have my blanket?,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/game my turn_1.png,#fe4343,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,TV,Can you turn on the TV?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/turn on the television.png.varianted-skin.png,#fe4343,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Needs,2,Music,I want to listen to music,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/listen to music_2.png.varianted-skin.png,#fe4343,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Happy,I'm happy,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/happy.png.varianted-skin.png,#ffd93d,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
Feelings,3,Sad,I'm sad,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sad.png.varianted-skin.png,#ffd93d,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/feelings.png.varianted-skin.png,NARBE House Default,#ff7b00,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/house.svg
