Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Core,1,yes,yes,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yes_2.png,#5c9aff,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,no,no,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/No-09d75d7313.svg,#5c9aff,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,more,more,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/more_169_g.svg,#5c9aff,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,again,again,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/consider over and over again.png.varianted-skin.png,#5c9aff,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,please,please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/please.png.varianted-skin.png,#5c9aff,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,thanks,thanks,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/thanks.png.varianted-skin.png,#5c9aff,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,help,help,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/help_4.png.varianted-skin.png,#5c9aff,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,stop,stop,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Stop-0cab3250e1.svg,#5c9aff,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,go,go,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to go_3.png,#5c9aff,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,now,now,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/now.svg,#5c9aff,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,later,later,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Time-d5f0069edc.svg,#5c9aff,,11,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,here,here,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/here_1.png,#5c9aff,,12,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,there,there,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/there.png,#5c9aff,,13,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,this,this,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/this.png,#5c9aff,,14,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Core,1,that,that,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/that_2.png,#5c9aff,,15,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/communication board_1.png.varianted-skin.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,I,I,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I.png.varianted-skin.png,#8b5cf6,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,you,you,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/you.png.varianted-skin.png,#8b5cf6,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,he,he,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/he.png.varianted-skin.png,#8b5cf6,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,she,she,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/she.png.varianted-skin.png,#8b5cf6,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,we,we,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/we.png.varianted-skin.png,#8b5cf6,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,they,they,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/they.png.varianted-skin.png,#8b5cf6,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,me,me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/me.png,#8b5cf6,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,him,him,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/with him.png,#8b5cf6,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,her,her,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/she.png.varianted-skin.png,#8b5cf6,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,us,us,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_1.png.varianted-skin.png,#8b5cf6,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,them,them,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/them.png.varianted-skin.png,#8b5cf6,,11,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,it,it,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/it.png,#8b5cf6,,12,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,my,my,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/my (plural).png,#8b5cf6,,13,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,your,your,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/your.png,#8b5cf6,,14,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,his,his,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/he.png.varianted-skin.png,#8b5cf6,,15,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,our,our,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/our.png,#8b5cf6,,16,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,their,their,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/their_1.png,#8b5cf6,,17,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,mine,mine,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/mine.png,#8b5cf6,,18,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,yours,yours,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yours.png,#8b5cf6,,19,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,ours,ours,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/ours.png,#8b5cf6,,20,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
Pronouns,2,theirs,theirs,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/theirs.png,#8b5cf6,,21,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/us_2.png,NARBE Words,#ff5ce1,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Book-thin_864_584233.svg
